sales_id,order_id,product_id,price_per_unit,quantity_sales,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,city,state,product_type,product_name,size,colour,price,quantity_products,description
12,3,54,"$104,00",1,"$104,00",774,"$46.763,00",10/08/2021,11/03/2021,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,West Jonathanshire,Tasmania,Shirt,Dress,XL,green,"$119,00",52,"A green coloured, XL sized, Dress Shirt"
13,3,6,"$96,00",2,"$192,00",774,"$46.763,00",10/08/2021,11/03/2021,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,West Jonathanshire,Tasmania,Shirt,Oxford Cloth,S,orange,"$114,00",72,"A orange coloured, S sized, Oxford Cloth Shirt"
14,3,1010,"$106,00",2,"$212,00",774,"$46.763,00",10/08/2021,11/03/2021,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,West Jonathanshire,Tasmania,Trousers,Wool,XS,violet,"$111,00",80,"A violet coloured, XS sized, Wool Trousers"
15,4,1033,"$90,00",1,"$90,00",433,"$39.782,00",05/06/2021,5/19/2021,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,West Michaelport,Tasmania,Trousers,Relaxed Leg,L,green,"$95,00",62,"A green coloured, L sized, Relaxed Leg Trousers"
16,4,1184,"$99,00",3,"$297,00",433,"$39.782,00",05/06/2021,5/19/2021,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,West Michaelport,Tasmania,Trousers,High-Waisted,XL,indigo,"$98,00",57,"A indigo coloured, XL sized, High-Waisted Trousers"
17,4,769,"$109,00",1,"$109,00",433,"$39.782,00",05/06/2021,5/19/2021,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,West Michaelport,Tasmania,Jacket,Peacoat,XL,violet,"$102,00",42,"A violet coloured, XL sized, Peacoat Jacket"
18,4,923,"$96,00",3,"$288,00",433,"$39.782,00",05/06/2021,5/19/2021,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,West Michaelport,Tasmania,Trousers,Drawstring,L,yellow,"$104,00",68,"A yellow coloured, L sized, Drawstring Trousers"
19,4,12,"$96,00",2,"$192,00",433,"$39.782,00",05/06/2021,5/19/2021,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,West Michaelport,Tasmania,Shirt,Oxford Cloth,M,yellow,"$114,00",56,"A yellow coloured, M sized, Oxford Cloth Shirt"
20,5,148,"$91,00",2,"$182,00",441,"$14.719,00",3/23/2021,3/24/2021,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,South Rileyview,Western Australia,Shirt,Linen,L,orange,"$116,00",73,"A orange coloured, L sized, Linen Shirt"
21,5,475,"$118,00",2,"$236,00",441,"$14.719,00",3/23/2021,3/24/2021,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,South Rileyview,Western Australia,Jacket,Puffer,XS,blue,"$110,00",57,"A blue coloured, XS sized, Puffer Jacket"
22,5,1,"$96,00",3,"$288,00",441,"$14.719,00",3/23/2021,3/24/2021,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,South Rileyview,Western Australia,Shirt,Oxford Cloth,S,red,"$114,00",53,"A red coloured, S sized, Oxford Cloth Shirt"
23,5,830,"$117,00",3,"$351,00",441,"$14.719,00",3/23/2021,3/24/2021,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,South Rileyview,Western Australia,Jacket,Shearling,XS,indigo,"$95,00",68,"A indigo coloured, XS sized, Shearling Jacket"
24,5,1209,"$105,00",3,"$315,00",441,"$14.719,00",3/23/2021,3/24/2021,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,South Rileyview,Western Australia,Trousers,Pleated,XL,green,"$90,00",55,"A green coloured, XL sized, Pleated Trousers"
25,5,635,"$93,00",3,"$279,00",441,"$14.719,00",3/23/2021,3/24/2021,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,South Rileyview,Western Australia,Jacket,Coach,XS,orange,"$115,00",42,"A orange coloured, XS sized, Coach Jacket"
26,5,639,"$93,00",3,"$279,00",441,"$14.719,00",3/23/2021,3/24/2021,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,South Rileyview,Western Australia,Jacket,Coach,XL,orange,"$115,00",46,"A orange coloured, XL sized, Coach Jacket"
27,5,695,"$113,00",1,"$113,00",441,"$14.719,00",3/23/2021,3/24/2021,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,South Rileyview,Western Australia,Jacket,Parka,XS,violet,"$119,00",59,"A violet coloured, XS sized, Parka Jacket"
28,6,38,"$104,00",2,"$208,00",800,"$16.197,00",09/09/2021,10/05/2021,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,Daughertyport,Queensland,Shirt,Dress,L,red,"$119,00",79,"A red coloured, L sized, Dress Shirt"
29,6,473,"$118,00",2,"$236,00",800,"$16.197,00",09/09/2021,10/05/2021,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,Daughertyport,Queensland,Jacket,Puffer,L,green,"$110,00",43,"A green coloured, L sized, Puffer Jacket"
30,6,242,"$106,00",1,"$106,00",800,"$16.197,00",09/09/2021,10/05/2021,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,Daughertyport,Queensland,Shirt,Chambray,M,violet,"$105,00",72,"A violet coloured, M sized, Chambray Shirt"
31,6,804,"$91,00",2,"$182,00",800,"$16.197,00",09/09/2021,10/05/2021,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,Daughertyport,Queensland,Jacket,Pullover,XL,violet,"$114,00",69,"A violet coloured, XL sized, Pullover Jacket"
32,7,850,"$113,00",2,"$226,00",626,"$37.666,00",04/05/2021,04/11/2021,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,Walterstad,New South Wales,Trousers,Chinos,XS,yellow,"$100,00",41,"A yellow coloured, XS sized, Chinos Trousers"
33,7,1162,"$99,00",3,"$297,00",626,"$37.666,00",04/05/2021,04/11/2021,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,Walterstad,New South Wales,Trousers,High-Waisted,M,orange,"$98,00",69,"A orange coloured, M sized, High-Waisted Trousers"
34,8,765,"$109,00",1,"$109,00",58,"$28.484,00",04/12/2021,05/01/2021,Aurie Margett,Agender,39,260 Lily PassSuite 549,Amelieburgh,New South Wales,Jacket,Peacoat,XS,violet,"$102,00",54,"A violet coloured, XS sized, Peacoat Jacket"
35,8,256,"$95,00",2,"$190,00",58,"$28.484,00",04/12/2021,05/01/2021,Aurie Margett,Agender,39,260 Lily PassSuite 549,Amelieburgh,New South Wales,Shirt,Polo,S,yellow,"$117,00",77,"A yellow coloured, S sized, Polo Shirt"
36,9,203,"$98,00",1,"$98,00",852,"$12.896,00",05/01/2021,05/11/2021,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,O'connertown,Tasmania,Shirt,Camp Collared,L,indigo,"$112,00",72,"A indigo coloured, L sized, Camp Collared Shirt"
37,9,486,"$118,00",2,"$236,00",852,"$12.896,00",05/01/2021,05/11/2021,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,O'connertown,Tasmania,Jacket,Puffer,S,violet,"$110,00",46,"A violet coloured, S sized, Puffer Jacket"
38,9,708,"$119,00",1,"$119,00",852,"$12.896,00",05/01/2021,05/11/2021,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,O'connertown,Tasmania,Jacket,Trench Coat,L,orange,"$112,00",70,"A orange coloured, L sized, Trench Coat Jacket"
39,9,1040,"$90,00",2,"$180,00",852,"$12.896,00",05/01/2021,05/11/2021,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,O'connertown,Tasmania,Trousers,Relaxed Leg,XS,indigo,"$95,00",60,"A indigo coloured, XS sized, Relaxed Leg Trousers"
40,9,917,"$96,00",3,"$288,00",852,"$12.896,00",05/01/2021,05/11/2021,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,O'connertown,Tasmania,Trousers,Drawstring,M,orange,"$104,00",76,"A orange coloured, M sized, Drawstring Trousers"
41,9,1061,"$93,00",2,"$186,00",852,"$12.896,00",05/01/2021,05/11/2021,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,O'connertown,Tasmania,Trousers,Joggers,S,yellow,"$94,00",76,"A yellow coloured, S sized, Joggers Trousers"
42,9,35,"$104,00",2,"$208,00",852,"$12.896,00",05/01/2021,05/11/2021,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,O'connertown,Tasmania,Shirt,Dress,XS,red,"$119,00",63,"A red coloured, XS sized, Dress Shirt"
43,10,325,"$109,00",3,"$327,00",659,"$21.922,00",10/15/2021,10/16/2021,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,Sophiemouth,Tasmania,Shirt,Mandarin Collar,XS,yellow,"$108,00",45,"A yellow coloured, XS sized, Mandarin Collar Shirt"
44,10,860,"$113,00",2,"$226,00",659,"$21.922,00",10/15/2021,10/16/2021,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,Sophiemouth,Tasmania,Trousers,Chinos,XS,blue,"$100,00",69,"A blue coloured, XS sized, Chinos Trousers"
45,10,426,"$107,00",3,"$321,00",659,"$21.922,00",10/15/2021,10/16/2021,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,Sophiemouth,Tasmania,Jacket,Denim,S,orange,"$92,00",51,"A orange coloured, S sized, Denim Jacket"
46,11,877,"$94,00",2,"$188,00",785,"$36.624,00",6/15/2021,6/30/2021,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,Port Adamburgh,Northern Territory,Trousers,Cords,M,red,"$113,00",68,"A red coloured, M sized, Cords Trousers"
47,11,780,"$91,00",3,"$273,00",785,"$36.624,00",6/15/2021,6/30/2021,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,Port Adamburgh,Northern Territory,Jacket,Pullover,XS,yellow,"$114,00",65,"A yellow coloured, XS sized, Pullover Jacket"
48,12,782,"$91,00",1,"$91,00",120,"$55.507,00",6/30/2021,07/11/2021,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,Carterbury,Queensland,Jacket,Pullover,M,yellow,"$114,00",49,"A yellow coloured, M sized, Pullover Jacket"
49,12,632,"$93,00",2,"$186,00",120,"$55.507,00",6/30/2021,07/11/2021,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,Carterbury,Queensland,Jacket,Coach,M,red,"$115,00",76,"A red coloured, M sized, Coach Jacket"
50,12,846,"$113,00",3,"$339,00",120,"$55.507,00",6/30/2021,07/11/2021,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,Carterbury,Queensland,Trousers,Chinos,S,orange,"$100,00",58,"A orange coloured, S sized, Chinos Trousers"
51,12,180,"$98,00",1,"$98,00",120,"$55.507,00",6/30/2021,07/11/2021,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,Carterbury,Queensland,Shirt,Camp Collared,XS,orange,"$112,00",52,"A orange coloured, XS sized, Camp Collared Shirt"
52,13,217,"$106,00",2,"$212,00",204,"$57.810,00",10/15/2021,10/31/2021,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,East Jakeberg,New South Wales,Shirt,Chambray,M,orange,"$105,00",43,"A orange coloured, M sized, Chambray Shirt"
53,13,95,"$118,00",3,"$354,00",204,"$57.810,00",10/15/2021,10/31/2021,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,East Jakeberg,New South Wales,Shirt,Flannel,XS,indigo,"$96,00",46,"A indigo coloured, XS sized, Flannel Shirt"
54,13,800,"$91,00",2,"$182,00",204,"$57.810,00",10/15/2021,10/31/2021,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,East Jakeberg,New South Wales,Jacket,Pullover,XS,violet,"$114,00",61,"A violet coloured, XS sized, Pullover Jacket"
55,13,835,"$117,00",1,"$117,00",204,"$57.810,00",10/15/2021,10/31/2021,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,East Jakeberg,New South Wales,Jacket,Shearling,XS,violet,"$95,00",75,"A violet coloured, XS sized, Shearling Jacket"
56,13,1249,"$112,00",2,"$224,00",204,"$57.810,00",10/15/2021,10/31/2021,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,East Jakeberg,New South Wales,Trousers,Tracksuit Bottoms,XL,blue,"$91,00",68,"A blue coloured, XL sized, Tracksuit Bottoms Trousers"
57,13,753,"$109,00",2,"$218,00",204,"$57.810,00",10/15/2021,10/31/2021,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,East Jakeberg,New South Wales,Jacket,Peacoat,L,green,"$102,00",73,"A green coloured, L sized, Peacoat Jacket"
58,13,114,"$92,00",3,"$276,00",204,"$57.810,00",10/15/2021,10/31/2021,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,East Jakeberg,New South Wales,Shirt,Denim,XL,orange,"$115,00",67,"A orange coloured, XL sized, Denim Shirt"
59,14,1202,"$105,00",2,"$210,00",957,"$21.270,00",3/29/2021,04/12/2021,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,Samanthaberg,South Australia,Trousers,Pleated,M,yellow,"$90,00",54,"A yellow coloured, M sized, Pleated Trousers"
60,14,227,"$106,00",3,"$318,00",957,"$21.270,00",3/29/2021,04/12/2021,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,Samanthaberg,South Australia,Shirt,Chambray,M,green,"$105,00",56,"A green coloured, M sized, Chambray Shirt"
61,14,108,"$92,00",2,"$184,00",957,"$21.270,00",3/29/2021,04/12/2021,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,Samanthaberg,South Australia,Shirt,Denim,L,red,"$115,00",52,"A red coloured, L sized, Denim Shirt"
62,14,91,"$118,00",3,"$354,00",957,"$21.270,00",3/29/2021,04/12/2021,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,Samanthaberg,South Australia,Shirt,Flannel,S,blue,"$96,00",43,"A blue coloured, S sized, Flannel Shirt"
63,14,909,"$94,00",2,"$188,00",957,"$21.270,00",3/29/2021,04/12/2021,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,Samanthaberg,South Australia,Trousers,Cords,XL,violet,"$113,00",73,"A violet coloured, XL sized, Cords Trousers"
64,15,699,"$113,00",3,"$339,00",468,"$15.488,00",9/22/2021,10/08/2021,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,West Isla,Tasmania,Jacket,Parka,XL,violet,"$119,00",80,"A violet coloured, XL sized, Parka Jacket"
65,15,1195,"$105,00",3,"$315,00",468,"$15.488,00",9/22/2021,10/08/2021,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,West Isla,Tasmania,Trousers,Pleated,XS,orange,"$90,00",74,"A orange coloured, XS sized, Pleated Trousers"
66,15,291,"$105,00",2,"$210,00",468,"$15.488,00",9/22/2021,10/08/2021,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,West Isla,Tasmania,Shirt,Cuban Collar,S,yellow,"$93,00",41,"A yellow coloured, S sized, Cuban Collar Shirt"
67,15,972,"$97,00",3,"$291,00",468,"$15.488,00",9/22/2021,10/08/2021,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,West Isla,Tasmania,Trousers,Slim-Fit,M,indigo,"$119,00",67,"A indigo coloured, M sized, Slim-Fit Trousers"
68,15,1212,"$105,00",2,"$210,00",468,"$15.488,00",9/22/2021,10/08/2021,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,West Isla,Tasmania,Trousers,Pleated,M,blue,"$90,00",66,"A blue coloured, M sized, Pleated Trousers"
69,16,7,"$96,00",3,"$288,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Shirt,Oxford Cloth,M,orange,"$114,00",77,"A orange coloured, M sized, Oxford Cloth Shirt"
70,16,381,"$94,00",3,"$282,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Shirt,Henley,S,violet,"$92,00",43,"A violet coloured, S sized, Henley Shirt"
71,16,17,"$96,00",2,"$192,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Shirt,Oxford Cloth,M,green,"$114,00",60,"A green coloured, M sized, Oxford Cloth Shirt"
72,16,297,"$105,00",2,"$210,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Shirt,Cuban Collar,M,green,"$93,00",45,"A green coloured, M sized, Cuban Collar Shirt"
73,16,28,"$96,00",1,"$96,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Shirt,Oxford Cloth,L,indigo,"$114,00",70,"A indigo coloured, L sized, Oxford Cloth Shirt"
74,16,934,"$96,00",1,"$96,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Trousers,Drawstring,XL,blue,"$104,00",60,"A blue coloured, XL sized, Drawstring Trousers"
75,16,324,"$109,00",3,"$327,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Shirt,Mandarin Collar,XL,orange,"$108,00",59,"A orange coloured, XL sized, Mandarin Collar Shirt"
76,16,578,"$100,00",2,"$200,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Jacket,Bomber,L,green,"$90,00",78,"A green coloured, L sized, Bomber Jacket"
77,16,273,"$95,00",1,"$95,00",564,"$36.479,00",07/07/2021,07/08/2021,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,North Marcusland,Northern Territory,Shirt,Polo,L,indigo,"$117,00",60,"A indigo coloured, L sized, Polo Shirt"
78,17,132,"$92,00",2,"$184,00",614,"$51.822,00",02/09/2021,02/11/2021,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,Samuelside,New South Wales,Shirt,Denim,M,indigo,"$115,00",56,"A indigo coloured, M sized, Denim Shirt"
79,17,791,"$91,00",2,"$182,00",614,"$51.822,00",02/09/2021,02/11/2021,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,Samuelside,New South Wales,Jacket,Pullover,S,blue,"$114,00",73,"A blue coloured, S sized, Pullover Jacket"
80,17,463,"$118,00",1,"$118,00",614,"$51.822,00",02/09/2021,02/11/2021,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,Samuelside,New South Wales,Jacket,Puffer,L,orange,"$110,00",66,"A orange coloured, L sized, Puffer Jacket"
81,17,1066,"$93,00",2,"$186,00",614,"$51.822,00",02/09/2021,02/11/2021,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,Samuelside,New South Wales,Trousers,Joggers,S,green,"$94,00",76,"A green coloured, S sized, Joggers Trousers"
82,18,35,"$104,00",1,"$104,00",299,"$22.902,00",01/01/2021,01/03/2021,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,Lake Amelia,Victoria,Shirt,Dress,XS,red,"$119,00",63,"A red coloured, XS sized, Dress Shirt"
83,18,970,"$97,00",3,"$291,00",299,"$22.902,00",01/01/2021,01/03/2021,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,Lake Amelia,Victoria,Trousers,Slim-Fit,XS,indigo,"$119,00",74,"A indigo coloured, XS sized, Slim-Fit Trousers"
84,18,285,"$105,00",1,"$105,00",299,"$22.902,00",01/01/2021,01/03/2021,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,Lake Amelia,Victoria,Shirt,Cuban Collar,XS,orange,"$93,00",62,"A orange coloured, XS sized, Cuban Collar Shirt"
85,18,1110,"$115,00",3,"$345,00",299,"$22.902,00",01/01/2021,01/03/2021,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,Lake Amelia,Victoria,Trousers,Cropped,XS,indigo,"$99,00",55,"A indigo coloured, XS sized, Cropped Trousers"
86,18,452,"$107,00",1,"$107,00",299,"$22.902,00",01/01/2021,01/03/2021,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,Lake Amelia,Victoria,Jacket,Denim,M,violet,"$92,00",43,"A violet coloured, M sized, Denim Jacket"
87,19,71,"$118,00",1,"$118,00",513,"$56.754,00",8/30/2021,09/10/2021,Corri Womack,Non-binary,39,051 White WayApt. 392,Port Ali,Tasmania,Shirt,Flannel,S,red,"$96,00",59,"A red coloured, S sized, Flannel Shirt"
88,19,347,"$109,00",2,"$218,00",513,"$56.754,00",8/30/2021,09/10/2021,Corri Womack,Non-binary,39,051 White WayApt. 392,Port Ali,Tasmania,Shirt,Mandarin Collar,M,violet,"$108,00",76,"A violet coloured, M sized, Mandarin Collar Shirt"
89,19,316,"$109,00",2,"$218,00",513,"$56.754,00",8/30/2021,09/10/2021,Corri Womack,Non-binary,39,051 White WayApt. 392,Port Ali,Tasmania,Shirt,Mandarin Collar,S,red,"$108,00",48,"A red coloured, S sized, Mandarin Collar Shirt"
90,19,809,"$117,00",3,"$351,00",513,"$56.754,00",8/30/2021,09/10/2021,Corri Womack,Non-binary,39,051 White WayApt. 392,Port Ali,Tasmania,Jacket,Shearling,XL,red,"$95,00",42,"A red coloured, XL sized, Shearling Jacket"
91,19,682,"$113,00",3,"$339,00",513,"$56.754,00",8/30/2021,09/10/2021,Corri Womack,Non-binary,39,051 White WayApt. 392,Port Ali,Tasmania,Jacket,Parka,M,green,"$119,00",71,"A green coloured, M sized, Parka Jacket"
92,20,596,"$112,00",2,"$224,00",789,"$45.129,00",1/13/2021,1/20/2021,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,Aliceland,Western Australia,Jacket,Cardigan,S,red,"$118,00",47,"A red coloured, S sized, Cardigan Jacket"
93,20,85,"$118,00",3,"$354,00",789,"$45.129,00",1/13/2021,1/20/2021,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,Aliceland,Western Australia,Shirt,Flannel,XS,green,"$96,00",55,"A green coloured, XS sized, Flannel Shirt"
94,20,571,"$100,00",1,"$100,00",789,"$45.129,00",1/13/2021,1/20/2021,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,Aliceland,Western Australia,Jacket,Bomber,S,yellow,"$90,00",64,"A yellow coloured, S sized, Bomber Jacket"
95,20,1114,"$115,00",3,"$345,00",789,"$45.129,00",1/13/2021,1/20/2021,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,Aliceland,Western Australia,Trousers,Cropped,XL,indigo,"$99,00",58,"A indigo coloured, XL sized, Cropped Trousers"
96,20,514,"$102,00",3,"$306,00",789,"$45.129,00",1/13/2021,1/20/2021,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,Aliceland,Western Australia,Jacket,Windbreaker,XL,blue,"$109,00",59,"A blue coloured, XL sized, Windbreaker Jacket"
97,20,681,"$113,00",1,"$113,00",789,"$45.129,00",1/13/2021,1/20/2021,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,Aliceland,Western Australia,Jacket,Parka,S,green,"$119,00",62,"A green coloured, S sized, Parka Jacket"
98,20,1114,"$115,00",1,"$115,00",789,"$45.129,00",1/13/2021,1/20/2021,Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,Aliceland,Western Australia,Trousers,Cropped,XL,indigo,"$99,00",58,"A indigo coloured, XL sized, Cropped Trousers"
99,21,7,"$96,00",1,"$96,00",124,"$11.261,00",04/04/2021,4/17/2021,Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,Donnellyfort,New South Wales,Shirt,Oxford Cloth,M,orange,"$114,00",77,"A orange coloured, M sized, Oxford Cloth Shirt"
100,21,298,"$105,00",2,"$210,00",124,"$11.261,00",04/04/2021,4/17/2021,Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,Donnellyfort,New South Wales,Shirt,Cuban Collar,L,green,"$93,00",58,"A green coloured, L sized, Cuban Collar Shirt"
101,21,906,"$94,00",2,"$188,00",124,"$11.261,00",04/04/2021,4/17/2021,Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,Donnellyfort,New South Wales,Trousers,Cords,S,violet,"$113,00",65,"A violet coloured, S sized, Cords Trousers"
